,1-4 family residential loans,Allowance for loan losses,AsOfDate,Available-for-sale Fair Value,Commercial and industrial loans,Credit cards,Net Income before,Number of full-time employees,Other real estate loans,Target,Total assets,Total equity capital,Total loans,Total noninterest expense,Total nontransaction deposits,Total transaction deposits
2648376,31614.0,5473.0,,27254.0,17055.0,0.0,-1215.0,78.0,66591.0,,190811.0,19102,124754.0,6503.0,113023.0,45406.0
2649122,101252.0,10271.0,,334903.0,102543.0,0.0,4972.0,176.0,289967.0,,921973.0,90899,509989.0,17768.0,560122.0,121291.0
2649177,0.0,18895.0,,309675.0,370773.0,0.0,59135.0,15.0,1677.0,,725695.0,52575,379989.0,1904.0,598063.0,0.0
2650333,16073.0,1517.0,,6696.0,4239.0,0.0,-641.0,20.0,33732.0,,74755.0,7057,55842.0,2063.0,39246.0,25615.0
2651899,0.0,0.0,,9036.0,0.0,165.0,442.0,33.0,0.0,,11609.0,8553,165.0,2093.0,2000.0,0.0
2652092,237136.0,28569.0,,291939.0,477233.0,0.0,18919.0,322.0,1243958.0,,3210622.0,247453,2001236.0,43542.0,2534643.0,219715.0
2654818,46404.0,1744.0,,4469.0,17168.0,0.0,748.0,63.0,84257.0,,197663.0,18533,153844.0,4952.0,104863.0,64118.0
2655495,83883.0,7213.0,,194843.0,23501.0,0.0,1370.0,105.0,166854.0,,560036.0,65957,305844.0,9104.0,465475.0,26888.0
2657855,32123.0,830.0,,43925.0,3854.0,0.0,1164.0,31.0,28488.0,,125313.0,11574,67346.0,2681.0,79149.0,32272.0
2661861,14097.0,1525.0,,11228.0,23249.0,0.0,315.0,41.0,49390.0,,118242.0,13352,88793.0,3879.0,66376.0,33808.0
2666400,25108.0,8315.0,,24344.0,42546.0,0.0,5984.0,173.0,79096.0,,822258.0,107329,702434.0,16512.0,599580.0,94130.0
2667920,0.0,0.0,,0.0,0.0,0.0,2484.0,13.0,0.0,,56989.0,52666,0.0,2614.0,0.0,0.0
2667939,7097.0,965.0,,49844.0,9241.0,0.0,1356.0,21.0,36925.0,,124222.0,14636,67306.0,1408.0,49226.0,33835.0
2667957,19144.0,3748.0,,25747.0,88980.0,0.0,3374.0,69.0,145941.0,,390457.0,34421,272016.0,6738.0,237516.0,89166.0
2668598,72164.0,3780.0,,51305.0,51638.0,746.0,619.0,50.0,54897.0,,274821.0,22363,182320.0,4527.0,195545.0,39461.0
2671105,11311.0,583.0,,35596.0,31338.0,0.0,2917.0,60.0,115635.0,,306563.0,46986,161085.0,6672.0,152425.0,104078.0
2678449,21964.0,1586.0,,3404.0,9038.0,0.0,-375.0,39.0,45604.0,,122932.0,16783,77485.0,3905.0,80309.0,21429.0
