,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
4002,598623,64145,454785,6367,331654,5862,2713,1258,52780,13503,2468,0,9/30/2010
4003,44226,5993,29585,405,25171,0,0,0,7145,1021,-34,0,9/30/2010
4004,99053,16872,63317,1319,82748,0,0,0,8351,2171,941,0,9/30/2010
4005,413409,21521,346293,4355,224891,0,2026,0,37777,8313,-554,0,9/30/2010
4006,228924,27866,181570,2958,170405,0,592,0,16195,3505,1806,0,9/30/2010
4007,163058,80236,68732,2045,131744,0,2731,0,9933,5817,-486,0,9/30/2010
4008,365348,24349,184710,10451,255039,0,2844,0,63712,6176,1574,0,9/30/2010
4009,291335,72628,162362,3458,176615,0,0,0,28134,6297,1710,0,9/30/2010
4010,148843,14048,91136,1831,79847,0,1118,0,19585,1885,1499,0,9/30/2010
4011,119783,30178,70513,1483,83502,0,0,0,17449,3090,1423,0,9/30/2010
4012,1148643,59182,769465,20003,937411,0,17823,0,190482,15398,6078,0,9/30/2010
4013,199182,1668988,1861261,5230,267930,65940,4255,,,,,0,9/30/2010
4014,327125,69023,223827,7716,231833,0,6501,0,32704,6517,-2083,0,9/30/2010
4015,101104,9412,80408,1446,78055,0,2045,1443,8076,2645,-943,0,9/30/2010
4016,8169756,18308,6557173,46443,4040937,0,0,0,1342504,24863,95107,0,9/30/2010
4017,177449,90822,70984,795,54075,0,216,0,14770,2037,2244,0,9/30/2010
4018,467841,38230,323552,3244,356389,0,0,0,40130,16693,2361,0,9/30/2010
4019,69041,16039,43464,532,36837,0,0,0,8944,1484,104,0,9/30/2010
4020,30462,5544,7315,128,29594,0,79,0,13988,2648,1876,0,9/30/2010
4021,24845,6704,15356,165,14805,0,0,0,2756,467,220,0,9/30/2010
4022,359458,0,93304,0,0,6462,0,0,261543,72,139,0,9/30/2010
4023,1292416,66018,1065456,15170,1047726,0,5961,575,125146,9485,24847,0,9/30/2010
